"menu_item_category_name","menu_item_name","quantity_sold","item_sales","total_orders","new_customer_quantity_sold","new_customer_item_sales","new_customer_orders","loyal_customer_quantity_sold","loyal_customer_item_sales","loyal_customer_orders"
"Appetizers","Onion Rings","5","41.12","5","2","14.17","2","1","7.18","1"
"Two Hand Burgers","Breakfast All Day Burger","2","38.45","2","1","20.97","1","1","17.48","1"
"Grilled Platters","Chicken Garlic Platter","1","16.49","1","1","16.49","1","0","0.00","0"
"Fresh Drinks","Smoothie","1","9.98","1","1","9.98","1","0","0.00","0"
"Dessert Bar ","Key Lime Pie ","1","10.99","1","1","10.99","1","0","0.00","0"
"The Belgian Waffles
","Sausage Belgian Waffles","1","15.49","1","1","15.49","1","0","0.00","0"
"Pasta Bowls","Chicken Pesto Pasta","2","33.58","2","1","16.79","1","0","0.00","0"
"Salads","Caesar Salad","4","53.92","4","2","22.58","2","2","31.34","2"
"Fresh Smoothies","Cool Melon Smoothie
","1","13.29","1","1","13.29","1","0","0.00","0"
"Italian Pasta Bar","Pasta and Meatballs","1","18.88","1","1","18.88","1","0","0.00","0"
"Protein Smoothies","Banana Madness Smoothie","1","9.28","1","0","0.00","0","0","0.00","0"
"Drinks","Water","1","1.79","1","0","0.00","0","0","0.00","0"
"Savory Sides","Nachos","1","15.39","1","0","0.00","0","0","0.00","0"
"Heavens Chicken Wings","Mango Habanero Bone-in Chicken Wings","1","12.99","1","0","0.00","0","0","0.00","0"
