"start_date","end_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","subtotal_sales","self_delivery_charge","merchant_fees","sales_tax","tip","merchant_total","commission","delivery_commission","gh_plus_commission","order_processing_fee","withheld_sales_tax","merchant_funded_promotion_and_loyalty","merchant_net_total"
"2025-09-22","2025-10-05","10934824","Post St","Croissant Cravings","488 Post St  ","San Francisco","CA","94102","1","34.28","0.00","0.00","2.95","0.00","37.23","-5.14","-3.43","0.00","-1.44","0.00","0.00","27.22"
"2025-09-22","2025-10-05","2884516",,"Fiona's Ultimate Wraps","1219 1st Avenue  ","New York","NY","10065","1","19.98","0.00","0.00","1.33","0.00","21.31","-3.00","-2.00","0.00","-0.80","0.00","-5.00","10.51"
"2025-09-22","2025-10-05","6345488","Gate Of India - 7300 Sunset Blvd","Indian Veg House","7300 Sunset Blvd  ","Los Angeles","CA","90046","1","101.90","0.00","0.00","9.93","0.00","111.83","-15.29","-10.19","0.00","-3.56","0.00","-5.00","77.79"
"2025-09-22","2025-10-05","10929240","Amsterdam Ave","The Burger Hole","1213 Amsterdam Ave  ","New York","NY","10027","3","16.07","0.00","0.00","0.98","0.00","17.05","-5.56","-3.71","0.00","-1.67","0.00","-5.00","1.11"
"2025-09-22","2025-10-05","8562904",,"The Burger Joint","1595 Seminole Blvd  ","Largo","FL","33770","1","19.58","0.00","0.00","1.37","0.00","20.95","-2.94","-1.96","0.00","-0.94","0.00","0.00","15.11"
"2025-09-22","2025-10-05","5853472","Metropolitan Ave","The Vegan Snob","488 Metropolitan Ave  ","Brooklyn","NY","11211","8","260.80","0.00","0.00","19.88","0.00","280.68","-39.13","-26.10","0.00","-9.84","0.00","-37.00","168.61"
"2025-09-22","2025-10-05","11789400","Alton Pkwy","The Sandwich Vibe","20491 Alton Pkwy  ","Lake Forest","CA","92630","1","24.99","0.00","0.00","1.20","0.00","26.19","-3.75","-2.50","0.00","-0.95","0.00","-5.00","13.99"
"2025-09-22","2025-10-05","3311011","9th Ave","City Light Wraps","468 9th Ave  ","New York","NY","10018","3","61.74","0.00","0.00","4.34","0.00","66.08","-9.27","-6.18","0.00","-2.52","0.00","-13.00","35.11"
"2025-09-22","2025-10-05","2750933",,"Phillz Cheesesteaks","44 E 8th St  ","New York","NY","10003","6","98.29","0.00","0.00","7.84","0.00","106.13","-14.75","-9.84","0.00","-4.73","0.00","-10.00","66.81"
"2025-09-22","2025-10-05","4830064","265 Bedford Ave","House of Paninis","265 Bedford Ave  ","Brooklyn","NY","11211","8","197.53","0.00","0.00","14.27","0.00","211.80","-22.31","-20.30","0.00","0.00","0.00","-36.81","132.38"
"2025-09-22","2025-10-05","3312414","3rd St","Celebrity Vegan Burger","5155 3rd St  ","San Francisco","CA","94124","2","36.67","0.00","0.00","2.65","0.00","39.32","-5.50","-3.67","0.00","-1.61","0.00","-6.00","22.54"
"2025-09-22","2025-10-05","3372661","456 Grove St.","Chicken Sandwich Loft","456 Grove St  ","Worcester","MA","01605","1","21.88","0.00","0.00","1.06","0.00","22.94","-3.28","-2.19","0.00","-0.85","0.00","-5.00","11.62"
"2025-09-22","2025-10-05","10078576","Manchester Rd","Xiu's Vegetarian Chinese","9737 Manchester Rd  ","St. Louis","MO","63119","1","22.78","0.00","0.00","0.75","0.00","23.53","-3.42","-2.28","0.00","-0.87","0.00","-5.00","11.96"
"2025-09-22","2025-10-05","9817984","Mowry","101 Hummus","3846 Mowry Ave  ","Fremont","CA","94538","1","16.49","0.00","0.00","1.24","0.00","17.73","-2.47","-1.65","0.00","-0.69","0.00","-5.00","7.92"
"2025-09-22","2025-10-05","2741308",,"Nancy's Grilled Cheese","1760 3rd Ave  ","New York","NY","10029","28","505.15","0.00","0.00","38.79","0.00","543.94","-75.79","-50.58","0.00","-22.91","0.00","-68.14","326.52"
